texto,rotulo
"A entrega foi no prazo, as americanas estão de parabéns. A smart tv é muito boa, a navegação na internete e pelos aplicativos e excelente, não trava, sem falar da imagem que é de surpreender. recomendo.",5
"Excelente produto, por fora em material acrílico super resistente e por dentro em adamantio, faz milagre com qualquer bebida. Sugiro aproveitarem a promoção antes que acabe.",5
"produto mto bom, com essa garrafinha vc pode até servir água pro megazord. To pensando em vender minha tv pra comprar 1 garrafa dessa. RECOMENDO",5
Produto excelente qualidade boa câmera desenvolvimento do Android com rapidez,4
MEU PRODUTO NAO FOI ENTREGUE E A AMERICANAS ESTA DESCONTANDO NA FATURA DO MEU CARTÃO,1
"Produto maravilhoso! Não é barulhento, fácil manuseio, tranquilo de montar e desmontar, entrega antes do prazo mesmo se tratando de época do Natal. Americanas de parabéns e o produto muito bom. Recomendo com força.",5
"Produto condizente com o anúncio, com material de boa qualidade, fácil instalação, montagem e preço de acordo com a necessidade de cada um...",4
Até agora os produtos que eu comprei foram entregue certo. Obrigado que continua assim.,4
"Pontos Positivos Painel de 10bits (isso faz toda diferença da mais de 1 bilhão de cores) Bluetooth Wi-Fi AC USB 3.0 Input Lag Baixo Painel VA, que proporciona um alto contraste. Android TV 6.0 Som da TV realmente é excepcional! (saída do auto falantes são voltados para frente) Vem 2 controles remotos  A tv realmente é formidável, valeu muito a pena ter comprado TCL.",5
Melhor do que imaginava. Superou minhas expectativas.,5
sim e um bom produto pode comprar sem poblema Gostei muito do produto!,4
"A câmera frontal do meu é terrível, tanto faz tá claro ou escuro, a foto fica ruim de qualquer jeito. Muito arrependida!",1
Gostei do produto! Valeu a pena a compra. Atendeu ao objetivo para o qual foi adquirido!,5
"Claro q eu não esperava um fone maravilhoso, mas o som q vem desse fone é horrível.. Se equipara ao comprado em.camelôs",1
"Ele é bom pra criança, pois tem as teclas pequenas.",3
Achei o produto muito inferior  Pois as bonecas tem uma qualidade bem melhor porém esse kit deixou muito a desejar as massinhas são tão pequenas que teria quase que comprar umas 3 de cada pra fazer alguma coisa  Masssss ok,2
Adorei agora faço meus pães em casa com muito mais qualidade e muito mais saudáveis,5
"Linda bola de pelúcia, acabamento impecável! Poderiam fazer em um tamanho pequeno também, para bebês. Mas o produto é muito bom.",5
Pequeno compacto mais muitoooooooo eficiente. Ameiiiiiiii Recomendo,5
"Recomendo tanto o produto quanto a loja, produto conforme anunciado e entrega antes do prazo previsto...muito bom!!",4
"Bom produto  Feliz semana e 2018 cheio de amor , alegrias e grandes realizações",3
"Produto ainda não foi entregue, aguardando a transportadora fazer o serviço",1
"Recebemos antes do prazo prometido, o produto estava bem embalado e facil montagem",4
"Celular de qualidade, como nas especificações, e veio tudo certo no prazo.",3
"Lixo , paguei e não recebi .....fora de prazo , ninguém resolve nada .",1
"O brinquedo é muito bom,porém imaginei que fosse um pouquinho maior.",4
Produto prefeito super bonito e atende todas as necessidades,4
"Ótima imagem e som, o tamanho dela possibilita instalar em vários ambientes.",5
"Como assim? Comprei e não recebi. Questionei aqui nas lojas americanas, Os Correios registraram como produto entregue e ficou por isso mesmo! Meus protestos! (Mesmo sabendo que tudo será como antes!)  OBS.: NÃO RECOMENDO AS LOJAS AMERICANAS! Grrrrr!",1
"Produto excelente, ótimas funções, rápido, visual muito agradável.",5
"Para substituição de outros óleos na culinária. Exceto para temperar, nesse caso o melhor é  o azeite de oliva.",5
Aparelho de excelente qualidade. Faz o que promete.,5
Excelente para quem como eu já não tem força para torcer pano.E limpa perfeitamente o chão.,5
