texto,rotulo
"Uma mochila bonita, aparentemente de material bom, ótimo para a criança levar para a escola ou ate mermo passeio, ou viagem.",4
"Vale a pena. Prática, leve, bom resultado, fácil de manusear.",4
Meu pqnino amou esse jogo . A entrega foi rapida. vcs estao de Parabens. Obrigada!,5
Obrigada pelo comprometimento e pontualidade. Recomendo.,5
"O faqueiro achei fraco, eles amassavam com facilidade.  Porém o restante dos produtos em ótima qualidade.",4
"Os ponteiros não ajustam para os dois lados, apenas para o sentido horário, estarei tomando minhas providências por terem me vendido um produto falso com o anúncio de original",1
Recomendo! Produto chegou em ótimo estado e no prazo previsto.,3
"Celular muito bom, atende ao que se propõe. É um aparelho muito bonito também. A entrega foi pontual.",4
"Gostei bastante deste Smartphone LG K10 Novo , resolução muito boa , 32GB ,  não vou ficar preocupado com meus aplicativos pois espaço tenho de sobra , resumindo é ótimo , atende meu dia-dia perfeitamente é praticamente um computador de bolso .",5
"Excelente produto, meu filho está aproveitando muito.",5
O produto é funcional e bonito. Cumpre o prometido. Recomendo!,5
"Comprei um painel no dia 25/11 e respeitando o prazo de entrega deveria ter chegado antes do natal, porem hj dia 04/01 nada de receber. Entrando no site, nos meus pedidos, agora aparece que ai da está aguardando liberação da nota fiscal e nem foi para a transportadora ainda e que a entrega pode ser dia 28/01 ainda. Estou decepcionada pois todos os produtos que comprei nunca tive problemas, só agora, e tb já vou pagar a segunda parcela sem usufruir. Não recomendo pois ninguém merece passar por isso.Estou de férias e infelizmente vou voltar a trabalhr sem arrumar o ambiente.",1
"Entrega rápida, produto muito eficiente. Só não aconselho depilar a virilha, dói muuito e não tem posição pra isso rs.  Se alguem tiver uma dica, aceito.  Eloá Fernandes",4
Geladeira perfeita moderna e espaçosa. Indico para quem quer algo moderno em sua cozinha.,5
entregue antes do prazo e produto em ótimo estado. Recomendo.,3
O relógio não aceita o chip a bateria muito fraca não recomendo,1
"Esse excelente copo, nao só compra a fruta, como também faz o suco e vai ate onde estou para colocá-lo em minha boca! Otimo investimento. Eu tinha que guardar dinheiro para aposentadoria, mas com esse copo, nem preciso!",5
"O preço do frete encareceu muito o produto que, em sim, é bom. Frágil, simples de usar, mas cumpre o que promete.",3
Excelente produto. Fiquei vários dias vendo os prós e contras e não errei na escolha.,5
"Produto veio com defeito, válvula no lugar errado e não para cheio",1
"Entregaram direitinho, gostei muito do produto, vou até comprar outro.",4
O produto veio com defeito e retornou para troca. No display o terceiro dígito não opera corretamente e a bateria está fraca.,1
"Produto potente, fácil de limpeza e manuseio, tenho duas crticas, cabo acaba sendo curto e a saída de ar para as laterais levante a poeira do chão se fosse com saída para cima seria excelente.",3
"Produto de ótima qualidade, e a empresa entregou rápido, antes do tempo previsto, adorei",5
"Esperava mais do pendente em relação a qualidade... Difícil instalação, o parafuso para encaixe no teto de gesso não possui tamanho suficiente para encaixe da rosca de fixação. Tivemos que improvisar...Quando acende as lâmpadas não fica tão bonito, pois o tecido marrom fica meio transparente.",2
"TECLADO E MOUSE DE EXCELENTE QUALIDADE, PRODUTO DE FÁCIL INSTALAÇÃO E DE FÁCIL UTILIZAÇÃO.",5
"Um produto ótimo, de grande qualidade e recomendo a todos que o compre pois são além de bonitos, resistentes.",5
"produto entregue antes do prazo. Funciona muito bem,",4
Estou revoltado com isso   Não recebi o Produto na cor amarela como comprei   Recebi na Cor verde   Isso é um absurdo,1
Produto de ótima qualidade e cumpre o prometido... Seca e alisa sem muito esforço...,5
Produto de ótima qualidade e chegou dentro do prazo.,5
"Muito bom, chegou rápido, celular e ótimo, muito bonito.",5
O tapete não é felpudo como diz o anúncio péssima qualidade,1
Até agora estou muito satisfeito com o produto . O grau de café fica bem moído .,4
"Vale muito a pena, otima entrega e preço na Americanas !",5
"Muito bom o produto, recomendo! Entrega demorou um pouco, mas foi bem no prazo.",5
"Esse celular é muito bom..eu recomendo, entregaram antes do prazo,  tudo direitinho, gostei muito!!!!",5
Boa qualidade e bonito confortavel. A entrega foi rapida. Acho ate que vou comprar mais. O preco e otimo.,4
"apesar de ter extrapolado o prazo em alguns dias, super valeu a pena , é linda, eu amei",5
É bom achei q afinou um pouco meu cabelo mas aos poucos estou vendo resultados positivos deixa um cheiro muito gostoso,3
"Estou encantada com a minha expresso dolce gusto,  prática linda e muito saboroso,  Vou criar o meu cantinho do café",5
Excelente produto...gostei mesmo... Excelente produto...gostei mesmo...,5
"Novo edital mudou praticamente tudo do anterior !!!!! não compre ou vão jogar dinheiro no lixo , não sei sequer por que estão vendendo",1
"excelente custo benefício.entrega antes do prazo, desing contemporâneo, eficiência na tecnologia, excelente funcionamento",5
Assaaaaa ffff bbbbb mmmm vvvv xxxx uuuu ttttt vvvvv bbbbb gggg dddd,5
Gostaria de saber se esse celular tem câmera frontal,3
"Como vou avaliar um produto que não  recebi!   Pela segunda vez que me fazem isso, primeiro  com a cama da minha filha que era pra ser entregue dia 21 de dezembro de 2017, presente de natal ao qual fui lesada, não  recebi e a loja cancelou  o produto mesmo já  tendo recebido a primeira parcela e minha filha ficou sem presente de natal e até  agora nada foi resolvido e eu não  tive uma explicaçã, minha filha de 7 anos toda hora perguntando  cade a minha cama e nada, isso não  vou deixar quieto, se precisar colocar um advogado  vou colocar, pois foi uma tremenda  falta de profissionalismo  e ética, me sentindo lesada e desconte",1
