texto,rotulo
Produto com qualidade de imagem ruim.  As imagens são pixelizadas e com fraca nitidez. Qualidade de vídeo e áudio mediana pra mal.  A função wifi nao funciona bem.  Não recomendo.,1
"Foi entregue tudo legal, com notas e na caixa. Foi entregue tudo legal, com notas e na caixa.",4
Até hoje as banquetas não chegaram . Paguei mais caro para chegar mais rápido . E até hoje não chegou,1
Gostei só não  goste da entrega  Não tenho nada a reclamar  sobre o produto,4
"não compraria novamente, pois minha filha é muito alérgica e não vai poder continuar brincando. Pedi porque não conhecia e porque ela pediu este brinquedo para o papai noel.",3
"O óculos chegou no prazo, sem defeitos, ótima qualidade. Porém o óculos que eu pedi era preto fosco e o que recebi é preto brilhante.",3
ainda estou esperando o produto que comprei ja tem quase 2 meses que comprei  e ainda não foi entregue fico aguardando a resposta de vcs,1
"Empresa pontual, encomenda veio antes do prazo previsto.",4
Excelente produto. Superou todas as expectativas. Recomendo,5
"Sem opnião pois ocorreu tudo conforme informado na hora da compra, produto bom, entrega no tempo informado.",4
Produto de boa qualidade...o vidro veio um pouco marcado com sujeira q nao consiga tirar..mas ok..,3
"Parabéns ao grupo, produtos de qualidade e preço acessível.",4
"Dei de presente para uma amiga e seu filho. Ela avaliou que foi fácil a montagem, o filho se sentiu confortável e a medida que for crescendo poderá tirar o encosto e usar somente o assento.",4
"até então, perfeito. Tudo que pretendia com ele, fiz........",5
Brinquedo excelente...o tamanho é pequeno mais bem legal para crianças porém crianças de pelo menos 9 anos pois é um pouco difícil de manusear.,4
Não compre se for dá Up2games ela rouba seu dinheiro ! É vergonhoso como a americanas tem parceria com esse lixo de loja !,1
"Gostei do produto, mais o diferencial foi a entrega no prazo Att. Rodrigo heleno",3
"Comprei de presente pro meu pai e ele adorou, é silencioso e tem Lâminas boas. Recomendo!",4
"Comprei esta panela porque confio na marca Tramontina, porém desta vez ficou a desejar... recebi o produto em dezembro, estou usando conforme recomendações lida no manual. Agora no mês de Janeiro ao lavar a panela percebi que o cabo de apoio (o menor localizado na frente da panela) esta rachado.  Já entrei em contato com a loja Americanas e foi orientada para aguardar o retorno de minha solicitação. No. PROTOCOLO 2518010807413",2
"São panelas de excelente qualidade, do jeito que eu estava procurando, super recomendo, pois estou muito satisfeita.",5
Não recebi meu produto ! Paguei mas não recebi .. E até agora não tive resposta nenhuma !! Péssimo,1
Produto bom. Porém comprei errado e a tela é muito pequena.,3
"O aparelho apresenta bastante inércia nas atividades, pouco alcance na conectividade da tv, dificuldades na digitação principalmente ao ligar...  O aparelho antiga LG PRIME era excelente. Só adquiri um novo porque sua tela rachou com uma queda depois de tres anos de uso contínuo sem qualquer problemas ou insatisfações.  Desde ja agradeço o espaço e aguardo uma resposta para a minha opinião. Atte Marise Rosa",2
"Prancha excelente,pra progressiva ou não,alisa de forma rápida deixando o cabelo com aspecto brilhante e hidratado.perfeita",5
Produto muito bonito e de ótima qualidade.Adorei!!!,4
O produto é interessante e bem feito. O único defeito na minha opnião foi o fato dele ter vindo cheio de pó em função da embalagem que deixa o brinquedo exposto.,3
Comprei esse modelo ele enviaram moto G5 eu comprei G5 S safados!  Agora maior burocracia para efetuar a troca 10 dias para chegar o produto lá e eles reembolsar o valor do cartão.,1
"Produto excelente, bonito,  espaçoso e de qualidade.",5
"Fogao veio com bicos para gas natural, e isto nao estava nas informações do produto. Muito difícil acender o forno. Qualidade geral do produto, baixa",2
"muito bom, adorei a capacidade de armazenamento e o desempenho.",5
"Recebi o produto dentro do prazo e atendeu às minhas expectativas. Uma pena que demora cerca de 4 h para carregar, mas fora isso é um ótimo aparelho.",4
"Gostei, mas Não era tudo que eu esperava, pois não veio suporte de parede, nem cabo HDMI, itens que na outra TV que eu tenho veio, tirando isso ate então esta atendendo minhas expectativas.  entrega rápida, antes do prazo combinado.",3
"Quanto ao atendimento da loja tudo ok,porem não tive sucesso com o produto ,pois o mesmo apresentou defeito (na abertura da 2ª janela ocorre travamento).",2
O produto é bom e chegou em boas condições. Uma única observação é quanto a compra das cápsulas. Não são compradas como outras marca que estão disponíveis no mercado e somente na loja própria ou site. E tem um valor um pouco superior que os concorrentes.,4
Existem Smart Tv's bem melhores que este modelo da philco.  Ultrapassada.,2
"Produto bom e entregue antes do prazo. Agora preciso ""encher linguiça"" digitando porque o texto para a empresa estava muito curto.",4
Tudo o que eu sempre quis foi pagar 2 mil reais em um copo de plástico. Excelente oportunidade de se dar bem na vida.,5
"Ótimo livro, recomendo. A autora soube tratar MT bem o tema.",5
"Fácil instalação, simples para montar e completo para movimentação",4
Mais que recomendado a Cafeteira Dolce Gusto!! Produto de ótima qualidade... A entrega foi feita bem antes do informado....,5
Exatamente como anunciado... entrega rápida. Material excelente e de fácil manuseio.,5
"Boa fixação, aroma fascinante. Superou minhas expectativas.",5
